Name,Cluster,Min Age,Rating Average,Users Rated,Complexity Average,Play Time,Min Players,Max Players,Custom Rating
santiago,526,10,7.12,4822,2.49,75,3,5,34332.64
the palaces of carrara,59,10,7.18,4066,2.62,60,2,4,29193.879999999997
maharaja: the game of palace building in india,865,12,7.13,4872,3.17,90,2,5,34737.36
homesteaders,234,14,7.24,3482,3.04,90,2,4,25209.68
last night on earth: the zombie game,139,12,6.94,13531,2.29,90,2,6,93905.14
container,113,12,7.15,4381,3.25,90,3,5,31324.15
morels,747,10,7.0,7289,1.74,30,2,2,51023.0
akrotiri,506,13,7.25,3632,2.66,45,2,2,26332.0
age of industry,463,13,7.37,2857,3.36,120,2,5,21056.09
rhino hero: super battle,717,5,7.28,3467,1.12,20,2,4,25239.760000000002
tragedy looper,430,13,7.22,3974,3.51,120,2,4,28692.28
nova luna,117,8,7.45,2767,1.9,60,1,4,20614.15
signorie,301,12,7.43,2635,3.55,120,2,4,19578.05
heroscape master set: swarm of the marro,830,8,7.62,2267,2.25,60,2,4,17274.54
ascension: storm of souls,185,13,7.31,3379,2.34,30,1,4,24700.489999999998
roll through the ages: the bronze age,226,8,6.87,11497,1.78,45,1,4,78984.39
louis xiv,408,12,7.07,5343,3.01,100,2,4,37775.01
core worlds,505,10,7.18,3973,2.89,120,2,5,28526.14
"heroes of land, air & sea",328,14,7.71,2143,3.25,180,1,4,16522.53
co₂: second chance,66,12,7.66,2125,4.04,120,1,4,16277.5
diamant,238,8,6.82,17088,1.11,30,3,8,116540.16
forbidden island,648,10,6.79,42018,1.74,30,2,4,285302.22000000003
kanban ev,596,14,8.82,965,4.38,180,1,4,8511.300000000001
hawaii,835,13,7.16,4192,2.9,90,2,5,30014.72
the castles of burgundy: the card game,360,12,7.04,5804,2.54,60,1,4,40860.16
web of power,598,12,7.3,3350,2.45,60,3,5,24455.0
rhino hero,182,5,6.95,8368,1.03,15,2,5,58157.6
pictomania,371,9,7.28,3242,1.53,25,3,6,23601.760000000002
thunder alley,756,10,7.32,3139,2.39,90,2,7,22977.48
tumblin-dice,124,13,7.18,3891,1.05,45,2,4,27937.379999999997
kitchen rush,476,12,7.39,2750,2.24,45,1,4,20322.5
unfair,617,14,7.35,3613,2.7,125,2,5,26555.55
gentes,360,12,7.47,2391,3.17,90,1,4,17860.77
catacombs (third edition),826,14,7.57,2241,2.24,90,2,5,16964.37
adrenaline,598,12,7.06,5541,2.34,60,3,5,39119.46
dungeons & dragons: wrath of ashardalon board game,571,12,7.14,5858,2.62,60,1,5,41826.119999999995
tiny epic quest,990,14,7.06,6102,2.66,60,1,4,43080.119999999995
legacy: the testament of duke de crecy,365,8,7.17,4010,2.71,60,1,4,28751.7
can't stop,101,9,6.85,13262,1.16,30,2,4,90844.7
pandemic: rising tide,818,8,7.62,2081,2.44,45,2,5,15857.22
britannia,112,12,7.2,4039,3.17,300,3,5,29080.8
the others,460,14,7.39,3328,3.04,90,2,5,24593.92
lanterns: the harvest festival,907,8,6.92,9610,1.57,30,2,4,66501.2
the city of kings,24,14,7.75,2044,3.16,180,1,4,15841.0
